,TP53,KRAS,EGFR,STK11,RBM10,KEAP1,ATM,SMARCA4,PTPRD,NF1,PIK3CA,BRAF
TP53,-0.34,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
KRAS,-0.0,-0.92,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0
EGFR,0.0,-0.0,-1.22,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0
STK11,-0.0,0.0,-0.0,-1.88,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0
RBM10,-0.0,0.0,-0.0,-0.0,-1.99,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0
KEAP1,-0.0,-0.0,-0.0,0.0,-0.0,-2.23,-0.0,-0.0,0.0,0.0,-0.0,-0.0
ATM,-0.0,0.0,-0.0,0.0,0.0,-0.0,-3.66,-0.0,0.0,0.0,-0.0,-0.0
SMARCA4,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-2.36,0.0,-0.0,-0.0,-0.0
PTPRD,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-2.71,-0.0,-0.0,-0.0
NF1,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-2.54,-0.0,-0.0
PIK3CA,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.66,-0.0
BRAF,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.96
Observation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
